15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105320817_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105327234
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105327234_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10613448
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10613448_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10639203
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10639203_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10693192
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10693192_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10726059
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10726059_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10769273
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:08 | INFO     | unificador |    Preview: ...
15:34:08 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10769273_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:08 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10783381
15:34:08 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:08 | INFO     | unificador |    Preview: ...
15:34:08 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10783381_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:08 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10812222
15:34:08 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:08 | INFO     | unificador |    Preview: ...
15:34:08 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10812222_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:08 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 109088667
15:34:08 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:08 | INFO     | unificador |    Preview: ...
